rank,host,country,homepage_final_url,homepage_status,homepage_all_headers,homepage_html_file,first_internal_final_url,first_internal_status,first_internal_all_headers,first_internal_html_file,error
3,7games.bet.br,Brazil,,,,,,,,,"RuntimeError: https: Error: Page.goto: net::ERR_CONNECTION_RESET at https://7games.bet.br/
Call log:
  - navigating to ""https://7games.bet.br/"", waiting until ""load""
 ; http: Error: Page.goto: Navigation to ""http://7games.bet.br/"" is interrupted by another navigation to ""chrome-error://chromewebdata/""
Call log:
  - navigating to ""http://7games.bet.br/"", waiting until ""load""
"
1,18comic.vip,Global,,,,,,,,,"RuntimeError: https: Error: Page.goto: net::ERR_CONNECTION_RESET at https://18comic.vip/
Call log:
  - navigating to ""https://18comic.vip/"", waiting until ""load""
 ; http: Error: Page.goto: Navigation to ""http://18comic.vip/"" is interrupted by another navigation to ""chrome-error://chromewebdata/""
Call log:
  - navigating to ""http://18comic.vip/"", waiting until ""load""
"
2,255md.com,Global,,,,,,,,,"RuntimeError: https: Error: Page.goto: net::ERR_CONNECTION_RESET at https://255md.com/
Call log:
  - navigating to ""https://255md.com/"", waiting until ""load""
 ; http: Error: Page.goto: Navigation to ""http://255md.com/"" is interrupted by another navigation to ""chrome-error://chromewebdata/""
Call log:
  - navigating to ""http://255md.com/"", waiting until ""load""
"
5,abgligarchan.com,Global,https://abgligarchan.com/,200,"{""content-length"": ""8"", ""content-type"": ""application/octet-stream, text/plain"", ""date"": ""Thu, 07 May 2026 14:58:38 GMT"", ""server"": ""nginx""}",html_pages\abgligarchan_com_home.html.gz,,,,,
19,ar.xhamster.com,Global,,,,,,,,,"RuntimeError: https: Error: Page.goto: net::ERR_CONNECTION_RESET at https://ar.xhamster.com/
Call log:
  - navigating to ""https://ar.xhamster.com/"", waiting until ""load""
 ; http: Error: Page.goto: net::ERR_CONNECTION_RESET at http://ar.xhamster.com/
Call log:
  - navigating to ""http://ar.xhamster.com/"", waiting until ""load""
"
13,amp.xnxx.com,Global,,,,,,,,,"RuntimeError: https: Error: Page.goto: net::ERR_CONNECTION_RESET at https://amp.xnxx.com/
Call log:
  - navigating to ""https://amp.xnxx.com/"", waiting until ""load""
 ; http: Error: Page.goto: Navigation to ""http://amp.xnxx.com/"" is interrupted by another navigation to ""chrome-error://chromewebdata/""
Call log:
  - navigating to ""http://amp.xnxx.com/"", waiting until ""load""
"
20,ara.xhamster.com,Global,,,,,,,,,"RuntimeError: https: Error: Page.goto: net::ERR_CONNECTION_RESET at https://ara.xhamster.com/
Call log:
  - navigating to ""https://ara.xhamster.com/"", waiting until ""load""
 ; http: Error: Page.goto: net::ERR_CONNECTION_RESET at http://ara.xhamster.com/
Call log:
  - navigating to ""http://ara.xhamster.com/"", waiting until ""load""
"
15,aniwatchtv.to,Tonga,,,,,,,,,"RuntimeError: https: Error: Page.goto: net::ERR_CONNECTION_RESET at https://aniwatchtv.to/
Call log:
  - navigating to ""https://aniwatchtv.to/"", waiting until ""load""
 ; http: Error: Page.goto: Navigation to ""http://aniwatchtv.to/"" is interrupted by another navigation to ""chrome-error://chromewebdata/""
Call log:
  - navigating to ""http://aniwatchtv.to/"", waiting until ""load""
"
14,an1.com,Global,,,,,,,,,"RuntimeError: https: Error: Page.goto: net::ERR_CONNECTION_RESET at https://an1.com/
Call log:
  - navigating to ""https://an1.com/"", waiting until ""load""
 ; http: Error: Page.goto: Navigation to ""http://an1.com/"" is interrupted by another navigation to ""chrome-error://chromewebdata/""
Call log:
  - navigating to ""http://an1.com/"", waiting until ""load""
"
26,aternos.org,Global,,,,,,,,,"RuntimeError: https: Error: Page.goto: net::ERR_CONNECTION_RESET at https://aternos.org/
Call log:
  - navigating to ""https://aternos.org/"", waiting until ""load""
 ; http: Error: Page.goto: Navigation to ""http://aternos.org/"" is interrupted by another navigation to ""chrome-error://chromewebdata/""
Call log:
  - navigating to ""http://aternos.org/"", waiting until ""load""
"
